label,claim,model,readability,word_pos,claim_id,binary_label
FC,8905 ثَرْوَة_noun 3 ChatGPT تمتلك دولة قطر ثروة طبيعية,كبيرة,,الغاز,,correct
FC,9813 ضَوْء_noun 1 ChatGPT الضوء يمكن أن ينعكس,عندما,,بسطح,,correct
FC,4928 حَيّ_noun 1 GPT4 يقع حي جدة القديمة على ساحل البحر الأحمر وتم تأسيسه,في,,السابع,,correct
FC,5605 طاقَة_noun 3 ChatGPT تستخدم الطاقة النووية في توليد الكهرباء,في,,من,,correct
FC,6701 دُنْيا_noun 1 ChatGPT الدنيا,تحتوي,,محيطات,,correct
FC,405 دَوْلَة_noun 1 ChatGPT دولة قطر تقع,في,,الجزيرة,,correct
FC,4090 صَدْر_noun 1 GPT4 في صدر القرن العشرين، تأسست الشركة,الأمريكية,,لصناعة,,correct
FC,3598 سِوَى_noun 4 GPT4 يتعاون الجيش الأمريكي مع الجيش الإسرائيلي في تطوير,منظومة,,الحديدية,,correct
FI,4244 إِذْن_noun 1 ChatGPT إذن هو كلمة تستخدم للتأكيد,على,,ما,,incorrect
FC,6426 إِرْهاب_noun 3 GPT4 الإرهاب هو استخدام العنف والتهديد لتحقيق أهداف سياسية,أو,,أو,,correct
FI,6841 جُمْهُورِيَّة_noun 3 ChatGPT جمهورية مصر العربية هي دولة عربية,تقع,,شمال,,incorrect
FC,5415 جُنَيْه_noun 2 ChatGPT الجنيه الإسترليني كان يعرف سابقاً,باسم,,الاسترليني,,correct
FC,4943 وَحْدَة_noun 4 ChatGPT وحدة,الطاقة,,هي,,correct
FI,8363 تَزَوَّج_verb 1 ChatGPT تزوج الفنان المصري عمرو دياب من زوجته الحالية زينة,عاشور,,عام,1992.0,incorrect
FI,5149 لَعَلَّ_verb_pseudo 3 GPT4 لعل جبل إيفرست هو أعلى قمة جبلية في,العالم,,8848,,incorrect
FC,1653 سابِق_adj 3 ChatGPT الحكومة السابقة في تونس كانت,برئاسة,,قائد,,correct
FC,8026 حُكُومِيّ_adj 2 GPT4 في المملكة العربية السعودية تم إطلاق برنامج,حكومي,,القطاع,,correct
FI,5511 مَقْتَل_noun 2 ChatGPT تم الإعلان عن مقتل 12 شخصًا في حادث تحطم,طائرة,,جنوب,,incorrect
FI,5616 مَعْرِفَة_noun 3 GPT4 المعرفة هي القدرة على فهم الأشياء والتعامل معها,بناءً,,المعلومات,,incorrect
FC,4456 مُخْتَلِف_adj 1 GPT4 البحث العلمي يساهم في تطوير مجالات,مختلفة,,المعرفة,,correct
FC,3183 مَجال_noun 4 ChatGPT يعد مجال العلوم الإنسانية من أهم المجالات التي تهتم,بدراسة,,وثقافته,,correct
FC,9017 أَسْرَع_verb 1 GPT4 أسرع حيوان على اليابسة هو الفهد الذي يمكنه الوصول إلى سرعات تصل إلى,120,,في,,correct
FI,49 إِلَى_prep 1 GPT4 توفي العالم الفلكي جاليليو جاليلي في يناير 1642 بعد أن أسهم في تطوير المنظار ودراسة الأجرام,السماوية,,إلى,,incorrect
FC,9433 مُدَرِّب_noun 1 ChatGPT يعتبر المدرب الإيطالي فابيو كابيلو واحدًا من أكثر المدربين نجاحًا,في,,كرة,,correct
FC,1365 لَدَى_noun 3 ChatGPT لدى مصر أكبر عدد من,الآثار,,في,,correct
FC,3360 دَفَع_verb 1 GPT4 دفعت جمهورية مصر العربية مليارات الدولارات لتنفيذ مشروع توسعة,قناة,,في,2015.0,correct
FC,5123 أَثْناءَ_noun 2 ChatGPT أثناء الثورة الصناعية، تم تطوير الآلات والتقنيات,الجديدة,,غيرت,,correct
FC,1718 حَرَكَة_noun 1 GPT4 حركة حماس هي حركة فلسطينية إسلامية أنشئت في عام 1987 وتهدف إلى,إنشاء,,فلسطينية,,correct
FC,5027 مَكْتَب_noun 1 GPT4 تأسس مكتب التحقيقات الفيدرالي الأمريكي (FBI),في,26.0,يوليو,1908.0,correct
FI,1558 نَظَر_verb 1 GPT4 تستخدم عمليات النظر البصرية للأشخاص ذوي الإعاقة في تعليمهم وتدريبهم,على,,التواصل,,incorrect
FC,3390 فَصْل_noun 1 GPT4 تعتبر معادلة فصل القوى في الفيزياء الكلاسيكية أساسية,لفهم,,الأجسام,,correct
FC,1252 وَصَل_verb 1 ChatGPT وصل عدد السكان في مصر إلى أكثر,من,100.0,مليون,,correct
FI,6912 مَوْسِم_noun 3 ChatGPT يعتبر موسم الزيتون في تونس من أهم المواسم الزراعية ويمتد,من,,حتى,,incorrect
FI,9841 أُسْلُوب_noun 2 ChatGPT تعتبر عين من أكبر المدن,في,,سطيف,,incorrect
FC,5920 تَناوَل_verb 1 GPT4 تناول الخضروات الورقية الخضراء يساعد على,الوقاية,,فقر,,correct
FC,630 آخَر_adj 1 GPT4 اكتشف علماء الفلك آخر كوكب في المجموعة الشمسية وهو,كوكب,,عام,1930.0,correct
FC,3924 عاش_verb 1 ChatGPT عاش الفنان الإسباني بابلو,بيكاسو,,القرن,,correct
FC,4577 فَكَّر_verb 1 GPT4 تعتبر فكرة المنطق المبرمج بناءً على الرياضيات,مهمة,,الذكاء,,correct
FC,"9358 هائِل_adj 3 GPT4 نشر العالم الإنجليزي إسحاق نيوتن كتابه الشهير ""الرياضيات","الطبيعية""",,عام,1687.0,correct
FI,3790 تارِيخ_noun 1 GPT4 قبل اختراع الهاتف، كانت الرسائل البريدية هي الوسيلة,الرئيسية,,عن,,incorrect
FC,701 حَيْثُ_adv_rel 3 ChatGPT حيث يقع مطار الملكة,علياء,,في,,correct
FC,4794 دِين_noun 1 ChatGPT الدين الإسلامي يحرم,تناول,,والمخدرات,,correct
FC,1330 مَرَّة_noun 1 GPT4 توج محمد على كلاي بلقب بطولة العالم للملاكمة مرة,أولى,,عام,1964.0,correct
FC,4974 قِيادَة_noun 3 ChatGPT يجب على السائقين الجدد إجراء اختبارات قيادة,للحصول,,رخصة,,correct
FC,4773 رُوح_noun 1 ChatGPT تعتبر الروح من الأشياء التي لا,يمكن,,أو,,correct
FC,5704 غَرِيب_adj 1 ChatGPT يعتبر الغريب من الكلمات العربية التي تعني الشخص,الغريب,,الغير,,correct
FC,416 شَيْء_noun 1 GPT4 الشيء الأكثر تأثيراً على التغير المناخي هو,غاز,,أكسيد,,correct
FC,2314 نُقْطَة_noun 1 ChatGPT نقطة الغليان للكحول الإيثيلي,هي,78.37,درجة,,correct
FC,1548 حَدِيث_noun 1 GPT4 يُعتَبر الإمام مسلم بن الحجاج من أهم,المحدثين,,علم,,correct
FI,765 ٱِسْم_noun 1 ChatGPT يعتبر اسم الشخصية الثانية في,الأدب,,هو,,incorrect
FC,5115 ٱِسْتِثْمار_noun 3 ChatGPT يمكن للأفراد الاستثمار في الذهب كونه,يعتبر,,آمناً,,correct
FC,4019 بَيْنَما_conj_sub 2 GPT4 بينما كانت مصر تحت حكم محمد على باشا، تم إنشاء المدرسة الحديثة,للطب,,عام,1827.0,correct
FC,2884 أَصاب_verb 2 ChatGPT تم أصابة العديد من الأشخاص بفيروس كورونا المستجد,في,,أنحاء,,correct
FI,1754 فَعَل_verb 1 ChatGPT الفعل يمكن أن يكون مضارعًا,أو,,أو,,incorrect
FI,1139 نَحْو_noun 4 GPT4 يتعلم نحو 200 مليون شخص حول العالم,اللغة,,كلغة,,incorrect
FC,2367 تَحْتَ_noun 1 GPT4 تحت البحار والمحيطات توجد مناطق معروفة باسم,المناطق,,تحت,,correct
FC,5429 عُنْصُر_noun 4 GPT4 يعتبر عنصر الأوكسجين ضرورياً للحياة على الأرض ويكون,جزءاً,,الماء,,correct
FC,4578 فَكَّر_verb 1 GPT4 يرجع تاريخ فكرة الديمقراطية,إلى,,الكلاسيكية,,correct
FC,4487 فَهِم_verb 1 GPT4 فهم القراءة يعتمد على مهارات مثل,التركيز,,والتفكير,,correct
FI,4251 تَعْلِيم_noun 1 ChatGPT تعد الحكومة السعودية,التعليم,,وإلزامياً,,incorrect
FC,472 بَعْض_noun_quant 1 ChatGPT يبلغ عدد الكواكب في,المجموعة,,8,,correct
FI,"768 ٱِسْم_noun 1 GPT4 تسمى الكرة الأرضية بـ ""الكوكب الأزرق""",بسبب,,الأزرق,,incorrect
FC,433 عَمَل_noun 1 ChatGPT يعتبر العمل التطوعي فرصة لتعلم,مهارات,,وتطوير,,correct
FC,3438 أَلْقَى_verb 1 GPT4 في عام 2012، ألقى الشاعر عبدالله البردوني قصيدة تندد,بالظلم,,في,,correct
FC,4321 وُصُول_noun 1 ChatGPT وصول الإنسان إلى القمر,حدث,,عام,1969.0,correct
FC,5468 أَعْلَم_adj_comp 2 GPT4 أعلم أن جبل إفرست هو أعلى قمة جبلية على سطح,الأرض,,"8,848",,correct
FI,1956 صُورَة_noun 1 GPT4 في الفن التشكيلي، تعتبر الصورة الزيتية واحدة من أشهر أنواع,التقنيات,,لرسم,,incorrect
FC,2363 تَحْتَ_noun 1 ChatGPT تحت درجات الحرارة المنخفضة,يتحول,,إلى,,correct
FI,3445 أَقَلّ_adj_comp 1 ChatGPT أقل عدد من الأسنان لدى الإنسان,البالغ,,12,,incorrect
FC,2199 بَدا_verb 4 GPT4 بدأ العالم آلبرت آينشتاين نشر نظريته النسبية,الخاصة,,عام,1905.0,correct
FC,201 كُلّ_noun_quant 1 ChatGPT كل الأرقام الزوجية تنتهي بالرقمين 0،,2،,,6،,8.0,correct
FC,761 ٱِسْم_noun 1 ChatGPT الاسم الأكثر شيوعًا,في,,هو,,correct
FI,9532 ذِكْرَى_noun 2 ChatGPT تصادف ذكرى وفاة الرئيس الراحل جمال عبد الناصر في,الخامس,,من,,incorrect
FC,9999 شَخْصِيَّة_noun 2 GPT4 من الشخصيات الأدبية العربية البارزة، الشاعر أبو الطيب المتنبي الذي,عاش,,القرون,,correct
FC,7652 خَسارَة_noun 1 ChatGPT تعتبر خسارة الأسهم في البورصة من المخاطر الكبيرة,التي,,لها,,correct
FC,88 الَّذِي_pron_rel 3 GPT4 الذي اخترع الهاتف هو العالم,الإسكتلندي,,غراهام,,correct
FC,8351 إِعْلام_noun 4 ChatGPT الإعلام هو وسيلة,لنقل,,والأخبار,,correct
FI,3330 عَهْد_noun 4 GPT4 في عهد الخليفة عمر بن الخطاب، امتد الإسلام من,الشام,,بلاد,,incorrect
FC,4799 دِين_noun 1 GPT4 البوذية هي دين ينشأ من التعاليم الروحية لسيدارتا غوتاما,الذي,,باسم,,correct
FC,2755 سَبِيل_noun 3 ChatGPT سبيل العلم والتعليم هو,الطريق,,التقدم,,correct
FC,4162 ظَلّ_verb 3 ChatGPT يمكن استخدام الظل لتقليل درجة,حرارة,,والمناطق,,correct
FI,6510 ناحِيَة_noun 3 GPT4 يشكل نهر النيل الناحية الشرقية لمصر,وهو,,أنهار,,incorrect
FC,807 حَياة_noun 1 GPT4 علماء الفلك يبحثون عن دلائل على وجود حياة خارج كوكب الأرض في أماكن مثل,المريخ,,المشتري,,correct
FI,6682 رَسُول_noun 1 ChatGPT رسول الله محمد ولد في مكة,في,,570,,incorrect
FI,1288 مَنْزِل_noun 1 GPT4 تم بناء منزل الرئيس الأمريكي السابق أبراهام لينكولن في عام,1844,,سبرينغفيلد،,,incorrect
FC,8081 إِقْلِيم_noun 3 ChatGPT يوجد في المغرب,إقليمات,,بالحكم,,correct
FC,3765 هَيْئَة_noun 4 ChatGPT تعمل هيئة الغذاء والدواء على تنظيم ومراقبة الأغذية والأدوية,في,,العربية,,correct
FC,7309 سَفِير_noun 3 GPT4 يعتبر السفير ممثلا رسميا,لدولته,,الدولة,,correct
FI,3568 نِهايَة_noun 1 GPT4 تعتبر نهاية القرن العشرين ميلادياً هي,بداية,,المعلومات,,incorrect
FI,3954 وَسَط_noun 1 ChatGPT وسط الأردن يضم العديد من المواقع الأثرية,الهامة,,مدينة,,incorrect
FC,3170 كُرَة_noun 1 GPT4 كرة القاعدة هي رياضة شعبية في,الولايات,,واليابان,,correct
FC,7941 شاهَد_verb 1 ChatGPT شاهد العلماء يؤكدون أن الأرض تدور حول نفسها,مرة,,24,,correct
FC,9525 صِحِّيّ_adj 1 ChatGPT التدخين يؤدي إلى العديد من المشاكل الصحية، بما في,ذلك,,وأمراض,,correct
FC,8361 تَزَوَّج_verb 1 ChatGPT تزوج الرئيس الأمريكي الأسبق بيل كلينتون من هيلاري,كلينتون,,عام,1975.0,correct
FC,6827 حِمايَة_noun 2 GPT4 تعتبر حماية البيئة أحد أهم القضايا التي تواجه البشرية,في,,الحادي,,correct
FC,3499 قَلِيل_adj 1 GPT4 توفر الطاقة الشمسية قليل من التأثير البيئي السلبي,مقارنة,,الطاقة,,correct
FI,6941 دَيْر_noun 4 ChatGPT دير القمر هو,موقع,,في,,incorrect
FC,6518 أَعاد_verb 3 GPT4 أعادت مصر تشغيل سكة حديد العاصمة القاهرة بعد,توقف,,لفترة,,correct
FC,853 حُكُومَة_noun 2 ChatGPT تعتبر حكومة الأردن من الحكومات,الديمقراطية,,الشرق,,correct
FI,9621 تَدْرِيب_noun 1 ChatGPT تدريب العاملين يعد جزءًا أساسيًا,من,,الشركات,,incorrect
FC,55 كان_verb 1 ChatGPT كانت الحضارة الفينيقية تعتبر من أهم الحضارات,القديمة,,البحر,,correct
FC,3361 صَباح_noun 1 ChatGPT تعاون الدول العربية في مجال الطاقة يساهم في,تحقيق,,الذاتي,,correct
FI,8708 حَبِيب_noun 1 GPT4 حبيب العادلي كان وزير الداخلية المصري من 1997 حتى 2011، وشغل منصب مدير المخابرات,العامة,,قبل,,incorrect
FC,2739 جِدّ_noun 3 GPT4 جدة معروفة بكورنيشها الذي يمتد,لأكثر,,30,,correct
FC,2251 نائِب_noun 3 ChatGPT يعد النائب في البرلمان العربي عضوًا,ممثلًا,,في,,correct
FC,9717 نُور_noun 1 GPT4 نور الدين محمود بن زنكي كان قائداً عسكرياً إسلامياً معروفاً,في,,ضد,,correct
FC,9683 نادَى_verb 2 ChatGPT نادى الأهلي المصري هو أكثر الأندية فوزًا,بالدوري,,لكرة,,correct
FC,7960 ضَغْط_noun 1 GPT4 زيادة ضغط الدم قد تؤدي إلى,الإصابة,,القلب,,correct
FI,27 أَنَّ_conj_sub 2 GPT4 أن أول جريدة في العالم العربي هي جريدة الوقائع المصرية,التي,,عام,1828.0,incorrect
FC,8096 إِنْسانِيّ_adj 3 GPT4 إنساني هو مصطلح يشير إلى ما يتعلق,بالبشر,,الجنس,,correct
FI,100 لا_part_neg 1 GPT4 لا يحتوي الكون على مواد غير,مرئية,,المادة,,incorrect
FI,9747 تَفْصِيل_noun 3 GPT4 في تفصيل البناء الذري، يتكون الذرة من نواة,تحتوي,,البروتونات,,incorrect
FC,4711 إِطار_noun 3 ChatGPT الإطار هو الجزء الذي,يحيط,,أو,,correct
FC,8516 إِقْلِيمِيّ_adj 4 GPT4 إن الاتحاد الإقليمي الأوروبي يتكون,من,27.0,دولة,,correct
